Admit,Reject,Department,GRE,Quants,Verbal,TOEFL,IELTS,GPA,Work_Ex
NA,Cornell University,Management Of Technology,288,148,140,0,7.5,2.1,18
Cornell University,NA,Management Of Technology,335,170,165,113,0,4,9
NA,Cornell University,Mechanical Engineering,280,142,138,0,7.5,2.3,8
Cornell University,NA,Mechanical Engineering,332,170,162,0,9.5,3.8,15
NA,Purdue University,Computer Science,288,145,143,90,0,2.8,24
Purdue University,NA,Computer Science,338,170,168,0,9.5,3.9,18
NA,Purdue University,Computer Engineering,270,137,133,0,6.5,2.8,16
Purdue University,NA,Computer Engineering,332,170,162,0,9.5,3.7,19
NA,Purdue University,Electrical Engineering,275,140,135,0,7.5,1.6,15
Purdue University,NA,Electrical Engineering,340,170,170,0,7.5,3.7,9
NA,Purdue University,Management Of Technology,266,137,129,0,7.5,3.3,19
Purdue University,NA,Management Of Technology,326,167,159,0,7.5,3.3,11
NA,Purdue University,Mechanical Engineering,279,141,138,94,0,2.5,3
Purdue University,NA,Mechanical Engineering,334,168,166,119,0,3.2,20
NA,Penn State University,Computer Science,312,158,154,0,7.5,1.9,6
Penn State University,NA,Computer Science,335,170,165,0,8.5,3.7,11
NA,Penn State University,Computer Engineering,273,139,134,101,0,2,20
Penn State University,NA,Computer Engineering,324,163,161,0,6.5,3.1,13
NA,Penn State University,Electrical Engineering,293,150,143,0,5.5,3,12
Penn State University,NA,Electrical Engineering,339,170,169,113,0,3.8,24
NA,Penn State University,Management Of Technology,312,160,152,101,0,2.2,8
Penn State University,NA,Management Of Technology,333,169,164,0,8.5,3.4,18
NA,Penn State University,Mechanical Engineering,299,155,144,0,7.5,1.7,19
Penn State University,NA,Mechanical Engineering,325,166,159,117,0,3.4,22
NA,"University of California, Los Angeles",Computer Science,267,139,128,85,0,2,3
"University of California, Los Angeles",NA,Computer Science,321,163,158,0,9.5,3.7,7
NA,"University of California, Los Angeles",Computer Engineering,297,153,144,98,0,2.2,19
"University of California, Los Angeles",NA,Computer Engineering,322,165,157,0,8.5,3.1,18
NA,"University of California, Los Angeles",Electrical Engineering,280,145,135,0,6.5,1.6,22
"University of California, Los Angeles",NA,Electrical Engineering,338,170,168,116,0,3.8,8
NA,"University of California, Los Angeles",Management Of Technology,263,134,129,91,0,2.3,15
"University of California, Los Angeles",NA,Management Of Technology,324,168,156,0,8.5,3.6,22
NA,"University of California, Los Angeles",Mechanical Engineering,278,144,134,0,6.5,2.8,2
"University of California, Los Angeles",NA,Mechanical Engineering,324,167,157,118,0,3.9,23
NA,The University of Texas at Austin,Computer Science,298,155,143,0,5.5,1.9,10
The University of Texas at Austin,NA,Computer Science,321,162,159,0,8.5,3.7,20
NA,The University of Texas at Austin,Computer Engineering,293,151,142,0,5.5,3.4,21
The University of Texas at Austin,NA,Computer Engineering,321,162,159,0,8.5,3.3,10
NA,The University of Texas at Austin,Electrical Engineering,307,155,152,92,0,3.1,15
The University of Texas at Austin,NA,Electrical Engineering,324,166,158,0,6.5,3.3,17
NA,The University of Texas at Austin,Management Of Technology,275,140,135,0,5.5,2,23
The University of Texas at Austin,NA,Management Of Technology,339,170,169,110,0,3.1,19
NA,The University of Texas at Austin,Mechanical Engineering,296,153,143,85,0,1.7,9
The University of Texas at Austin,NA,Mechanical Engineering,324,163,161,0,6.5,3.3,4
NA,University of Pennsylvania,Computer Science,300,155,145,83,0,3.1,12
University of Pennsylvania,NA,Computer Science,326,169,157,0,8.5,3.3,6
NA,University of Pennsylvania,Computer Engineering,261,135,126,94,0,2.4,21
University of Pennsylvania,NA,Computer Engineering,322,166,156,113,0,3.8,22
NA,University of Pennsylvania,Electrical Engineering,287,149,138,0,6.5,2.7,23
University of Pennsylvania,NA,Electrical Engineering,322,165,157,0,7.5,3.3,1
NA,University of Pennsylvania,Management Of Technology,319,162,157,83,0,3,22
University of Pennsylvania,NA,Management Of Technology,335,171,164,0,8.5,3.8,3
NA,University of Pennsylvania,Mechanical Engineering,299,154,145,86,0,3.3,14
University of Pennsylvania,NA,Mechanical Engineering,325,167,158,0,7.5,3.4,17
NA,New York University,Computer Science,284,148,136,0,7.5,1.8,2
New York University,NA,Computer Science,333,170,163,117,0,4,7
NA,New York University,Computer Engineering,309,161,148,0,6.5,3,22
New York University,NA,Computer Engineering,328,166,162,0,6.5,3.5,1
NA,New York University,Electrical Engineering,267,135,132,96,0,2.4,9
New York University,NA,Electrical Engineering,338,174,164,103,0,3.4,9
NA,New York University,Management Of Technology,276,143,133,0,6.5,1.9,19
New York University,NA,Management Of Technology,326,166,160,103,0,3.7,24
NA,New York University,Mechanical Engineering,265,134,131,0,5.5,2.6,1
New York University,NA,Mechanical Engineering,329,167,162,107,0,3.4,22
NA,Carnegie Mellon University,Computer Science,313,158,155,0,6.5,3,22
Carnegie Mellon University,NA,Computer Science,329,171,158,117,0,3.8,14
NA,Carnegie Mellon University,Computer Engineering,265,135,130,96,0,2.1,20
Carnegie Mellon University,NA,Computer Engineering,332,167,165,108,0,4,8
NA,Carnegie Mellon University,Electrical Engineering,270,137,133,90,0,2.3,13
Carnegie Mellon University,NA,Electrical Engineering,338,170,168,114,0,3.6,24
NA,Carnegie Mellon University,Management Of Technology,282,146,136,0,5.5,2.4,14
Carnegie Mellon University,NA,Management Of Technology,336,170,166,120,0,3.4,14
NA,Carnegie Mellon University,Mechanical Engineering,277,140,137,86,0,2.8,1
Carnegie Mellon University,NA,Mechanical Engineering,330,169,161,0,6.5,3.9,24
NA,"University of California, Davis",Computer Science,316,164,152,84,0,3,19
"University of California, Davis",NA,Computer Science,321,162,159,120,0,3.7,2
NA,"University of California, Davis",Computer Engineering,286,148,138,0,7.5,3.1,11
"University of California, Davis",NA,Computer Engineering,328,169,159,104,0,3.2,8
NA,"University of California, Davis",Electrical Engineering,320,162,158,0,5.5,2.9,23
"University of California, Davis",NA,Electrical Engineering,334,170,164,0,8.5,3.5,9
NA,"University of California, Davis",Management Of Technology,270,136,134,86,0,3.4,10
"University of California, Davis",NA,Management Of Technology,321,163,158,0,9.5,3.3,19
NA,"University of California, Davis",Mechanical Engineering,290,146,144,0,5.5,1.6,17
"University of California, Davis",NA,Mechanical Engineering,335,170,165,0,6.5,3.4,5
NA,"University of California, San Diego",Computer Science,308,155,153,0,7.5,2.5,5
"University of California, San Diego",NA,Computer Science,339,170,169,112,0,3.2,4
NA,"University of California, San Diego",Computer Engineering,299,151,148,0,6.5,2.5,13
"University of California, San Diego",NA,Computer Engineering,327,170,157,106,0,3.6,1
NA,"University of California, San Diego",Electrical Engineering,275,143,132,0,7.5,2.9,17
"University of California, San Diego",NA,Electrical Engineering,328,168,160,0,9.5,3.9,23
NA,"University of California, San Diego",Management Of Technology,285,149,136,89,0,1.6,2
"University of California, San Diego",NA,Management Of Technology,321,165,156,0,7.5,3.5,23
NA,"University of California, San Diego",Mechanical Engineering,306,154,152,0,6.5,2.7,14
"University of California, San Diego",NA,Mechanical Engineering,340,170,170,101,0,3.8,19
NA,University of Illinois at Urbana-Champaign,Computer Science,302,157,145,96,0,2.6,19
University of Illinois at Urbana-Champaign,NA,Computer Science,338,170,168,102,0,3.9,12
NA,University of Illinois at Urbana-Champaign,Computer Engineering,287,147,140,94,0,2.2,12
University of Illinois at Urbana-Champaign,NA,Computer Engineering,330,168,162,0,7.5,3.3,24
NA,University of Illinois at Urbana-Champaign,Electrical Engineering,299,153,146,92,0,3.1,23
University of Illinois at Urbana-Champaign,NA,Electrical Engineering,327,168,159,109,0,4,5
NA,University of Illinois at Urbana-Champaign,Management Of Technology,298,154,144,92,0,3.3,16
University of Illinois at Urbana-Champaign,NA,Management Of Technology,337,170,167,118,0,3.1,18
NA,University of Illinois at Urbana-Champaign,Mechanical Engineering,281,142,139,101,0,3.3,10
University of Illinois at Urbana-Champaign,NA,Mechanical Engineering,325,165,160,119,0,3.5,3
NA,University of Florida,Computer Science,297,154,143,0,5.5,3.2,13
University of Florida,NA,Computer Science,337,170,167,102,0,3.4,11
NA,University of Florida,Computer Engineering,280,144,136,0,7.5,3.3,1
University of Florida,NA,Computer Engineering,331,169,162,0,8.5,3.9,2
NA,University of Florida,Electrical Engineering,294,148,146,0,5.5,2.1,8
University of Florida,NA,Electrical Engineering,330,167,163,0,6.5,3.9,20
NA,University of Florida,Management Of Technology,311,159,152,87,0,2.8,11
University of Florida,NA,Management Of Technology,335,170,165,0,9.5,3.4,20
NA,University of Florida,Mechanical Engineering,309,160,149,101,0,2.5,12
University of Florida,NA,Mechanical Engineering,337,170,167,0,6.5,3.5,10
NA,"University of California, Irvine",Computer Science,279,143,136,0,6.5,2.6,22
"University of California, Irvine",NA,Computer Science,335,170,165,118,0,3.2,4
NA,"University of California, Irvine",Computer Engineering,285,146,139,99,0,1.6,19
"University of California, Irvine",NA,Computer Engineering,333,170,163,0,9.5,3.6,14
NA,"University of California, Irvine",Electrical Engineering,299,156,143,0,7.5,3.3,13
"University of California, Irvine",NA,Electrical Engineering,337,170,167,108,0,3.3,8
NA,"University of California, Irvine",Management Of Technology,270,136,134,0,7.5,2,20
"University of California, Irvine",NA,Management Of Technology,330,170,160,114,0,3.3,13
NA,"University of California, Irvine",Mechanical Engineering,311,160,151,96,0,3,22
"University of California, Irvine",NA,Mechanical Engineering,335,170,165,102,0,3.7,9
NA,University of Maryland,Computer Science,261,132,129,102,0,1.6,9
University of Maryland,NA,Computer Science,324,168,156,112,0,3.5,9
NA,University of Maryland,Computer Engineering,294,149,145,96,0,3.4,20
University of Maryland,NA,Computer Engineering,329,170,159,0,6.5,3.8,11
NA,University of Maryland,Electrical Engineering,300,154,146,102,0,2.5,24
University of Maryland,NA,Electrical Engineering,333,173,160,0,7.5,3.2,1
NA,University of Maryland,Management Of Technology,306,156,150,0,6.5,2.6,23
University of Maryland,NA,Management Of Technology,324,164,160,107,0,3.4,12
NA,University of Maryland,Mechanical Engineering,292,152,140,0,7.5,2.2,5
University of Maryland,NA,Mechanical Engineering,325,168,157,114,0,4,22
NA,University of Southern California,Computer Science,298,154,144,0,7.5,2.4,7
University of Southern California,NA,Computer Science,334,170,164,120,0,4,18
NA,University of Southern California,Computer Engineering,287,146,141,87,0,3,17
University of Southern California,NA,Computer Engineering,323,163,160,115,0,3.9,18
NA,University of Southern California,Electrical Engineering,289,150,139,84,0,2.2,16
University of Southern California,NA,Electrical Engineering,332,171,161,115,0,3.9,18
NA,University of Southern California,Management Of Technology,270,138,132,0,6.5,2.1,19
University of Southern California,NA,Management Of Technology,326,168,158,115,0,3.8,10
NA,University of Southern California,Mechanical Engineering,284,146,138,84,0,1.7,4
University of Southern California,NA,Mechanical Engineering,331,172,159,0,9.5,3.6,23
NA,University of North Carolina at Chapel Hill,Computer Science,265,134,131,0,6.5,2.6,10
University of North Carolina at Chapel Hill,NA,Computer Science,325,165,160,113,0,3.9,7
NA,University of North Carolina at Chapel Hill,Computer Engineering,281,147,134,0,5.5,2.3,8
University of North Carolina at Chapel Hill,NA,Computer Engineering,322,163,159,0,6.5,3.6,12
NA,University of North Carolina at Chapel Hill,Electrical Engineering,294,150,144,93,0,1.9,4
University of North Carolina at Chapel Hill,NA,Electrical Engineering,325,167,158,113,0,3.4,15
NA,University of North Carolina at Chapel Hill,Management Of Technology,281,143,138,0,7.5,2.3,17
University of North Carolina at Chapel Hill,NA,Management Of Technology,327,165,162,0,7.5,3.8,2
NA,University of North Carolina at Chapel Hill,Mechanical Engineering,297,151,146,102,0,1.6,10
University of North Carolina at Chapel Hill,NA,Mechanical Engineering,339,170,169,107,0,3.5,7
NA,Arizona State University,Computer Science,278,141,137,0,6.5,2,21
Arizona State University,NA,Computer Science,335,170,165,105,0,3.4,1
NA,Arizona State University,Computer Engineering,305,157,148,0,6.5,3.3,9
Arizona State University,NA,Computer Engineering,322,163,159,111,0,3.9,2
NA,Arizona State University,Electrical Engineering,277,141,136,0,6.5,2,5
Arizona State University,NA,Electrical Engineering,336,170,166,0,6.5,3.8,1
NA,Arizona State University,Management Of Technology,287,145,142,0,6.5,3.4,2
Arizona State University,NA,Management Of Technology,339,170,169,0,7.5,3.7,5
NA,Arizona State University,Mechanical Engineering,319,166,153,102,0,2.3,13
Arizona State University,NA,Mechanical Engineering,321,167,154,0,8.5,3.5,4
NA,Texas A&M University,Computer Science,290,148,142,92,0,1.9,5
Texas A&M University,NA,Computer Science,337,170,167,110,0,3.4,15
NA,Texas A&M University,Computer Engineering,263,137,126,0,6.5,2.4,17
Texas A&M University,NA,Computer Engineering,328,170,158,102,0,3.7,9
NA,Texas A&M University,Electrical Engineering,314,161,153,88,0,2.4,15
Texas A&M University,NA,Electrical Engineering,326,164,162,0,6.5,3.1,7
NA,Texas A&M University,Management Of Technology,264,133,131,86,0,3.3,1
Texas A&M University,NA,Management Of Technology,328,170,158,0,6.5,3.1,19
NA,Texas A&M University,Mechanical Engineering,264,133,131,100,0,2.3,14
Texas A&M University,NA,Mechanical Engineering,337,170,167,0,9.5,3.1,24
NA,University of Arizona,Computer Science,315,159,156,98,0,1.8,10
University of Arizona,NA,Computer Science,330,171,159,119,0,3.3,14
NA,University of Arizona,Computer Engineering,297,153,144,99,0,3.1,3
University of Arizona,NA,Computer Engineering,323,163,160,119,0,3.6,18
NA,University of Arizona,Electrical Engineering,271,139,132,84,0,3.4,9
University of Arizona,NA,Electrical Engineering,339,170,169,113,0,3.9,2
NA,University of Arizona,Management Of Technology,281,146,135,0,6.5,2,22
University of Arizona,NA,Management Of Technology,329,168,161,103,0,3.5,13
NA,University of Arizona,Mechanical Engineering,278,143,135,84,0,3,7
University of Arizona,NA,Mechanical Engineering,331,170,161,0,6.5,3.8,17
NA,North Carolina State University,Computer Science,285,148,137,0,5.5,1.7,10
North Carolina State University,NA,Computer Science,337,170,167,0,8.5,3.6,17
NA,North Carolina State University,Computer Engineering,274,139,135,0,5.5,3.5,1
North Carolina State University,NA,Computer Engineering,338,174,164,0,7.5,3.6,2
NA,North Carolina State University,Electrical Engineering,284,147,137,93,0,2.4,10
North Carolina State University,NA,Electrical Engineering,336,173,163,0,8.5,3.4,21
NA,North Carolina State University,Management Of Technology,266,136,130,0,6.5,2.1,21
North Carolina State University,NA,Management Of Technology,325,165,160,0,8.5,3.8,3
NA,North Carolina State University,Mechanical Engineering,269,136,133,84,0,2.1,13
North Carolina State University,NA,Mechanical Engineering,330,166,164,0,8.5,3.3,13
NA,Syracuse University,Computer Science,316,162,154,0,5.5,2.8,17
Syracuse University,NA,Computer Science,329,168,161,0,6.5,3.7,12
NA,Syracuse University,Computer Engineering,264,137,127,85,0,2.7,14
Syracuse University,NA,Computer Engineering,334,169,165,119,0,3.6,5
NA,Syracuse University,Electrical Engineering,263,136,127,0,5.5,3.3,24
Syracuse University,NA,Electrical Engineering,322,163,159,0,8.5,3.7,20
NA,Syracuse University,Management Of Technology,301,154,147,88,0,2.6,12
Syracuse University,NA,Management Of Technology,321,164,157,0,7.5,3.7,24
NA,Syracuse University,Mechanical Engineering,279,141,138,0,5.5,2.1,1
Syracuse University,NA,Mechanical Engineering,340,170,170,0,8.5,3.2,24
NA,Boston University,Computer Science,271,139,132,82,0,1.7,17
Boston University,NA,Computer Science,325,164,161,103,0,3.3,10
NA,Boston University,Computer Engineering,268,138,130,85,0,3.5,15
Boston University,NA,Computer Engineering,330,170,160,0,9.5,3.7,6
NA,Boston University,Electrical Engineering,303,156,147,0,6.5,2.8,1
Boston University,NA,Electrical Engineering,337,170,167,102,0,3.1,2
NA,Boston University,Management Of Technology,286,145,141,99,0,3.3,22
Boston University,NA,Management Of Technology,338,170,168,0,8.5,3.3,20
NA,Boston University,Mechanical Engineering,263,135,128,0,5.5,2.3,2
Boston University,NA,Mechanical Engineering,328,169,159,115,0,3.4,11
NA,University of Utah,Computer Science,305,155,150,89,0,2.4,21
University of Utah,NA,Computer Science,323,166,157,0,6.5,3.8,23
NA,University of Utah,Computer Engineering,261,133,128,82,0,2.5,5
University of Utah,NA,Computer Engineering,339,170,169,118,0,3.7,15
NA,University of Utah,Electrical Engineering,307,159,148,81,0,2.3,17
University of Utah,NA,Electrical Engineering,324,165,159,0,9.5,3.7,5
NA,University of Utah,Management Of Technology,304,154,150,83,0,2.5,23
University of Utah,NA,Management Of Technology,324,168,156,0,9.5,3.1,7
NA,University of Utah,Mechanical Engineering,278,143,135,89,0,2.4,10
University of Utah,NA,Mechanical Engineering,330,171,159,0,6.5,3.9,18
NA,Northwestern University,Computer Science,307,157,150,0,5.5,2.8,12
Northwestern University,NA,Computer Science,328,167,161,119,0,3.2,15
NA,Northwestern University,Computer Engineering,273,143,130,90,0,2.9,19
Northwestern University,NA,Computer Engineering,321,164,157,109,0,3.1,12
NA,Northwestern University,Electrical Engineering,298,153,145,0,7.5,3.5,23
Northwestern University,NA,Electrical Engineering,338,170,168,0,9.5,3.1,2
NA,Northwestern University,Management Of Technology,284,144,140,82,0,2.4,18
Northwestern University,NA,Management Of Technology,332,172,160,113,0,3.1,23
NA,Northwestern University,Mechanical Engineering,299,154,145,0,7.5,2.4,1
Northwestern University,NA,Mechanical Engineering,336,174,162,104,0,4,15
NA,Georgia Institute of Technology,Computer Science,300,156,144,92,0,3.2,22
Georgia Institute of Technology,NA,Computer Science,337,170,167,0,6.5,3.7,23
NA,Georgia Institute of Technology,Computer Engineering,295,149,146,95,0,2.4,21
Georgia Institute of Technology,NA,Computer Engineering,337,170,167,101,0,3.2,14
NA,Georgia Institute of Technology,Electrical Engineering,283,144,139,98,0,2.9,16
Georgia Institute of Technology,NA,Electrical Engineering,337,170,167,103,0,3.8,15
NA,Georgia Institute of Technology,Management Of Technology,274,141,133,95,0,2.7,3
Georgia Institute of Technology,NA,Management Of Technology,340,170,170,0,7.5,4,23
NA,Georgia Institute of Technology,Mechanical Engineering,307,155,152,92,0,3.2,19
Georgia Institute of Technology,NA,Mechanical Engineering,338,170,168,0,7.5,3.8,6
NA,California Institute of Technology,Computer Science,271,142,129,98,0,2.5,21
California Institute of Technology,NA,Computer Science,331,170,161,107,0,3.5,9
NA,California Institute of Technology,Computer Engineering,273,139,134,96,0,2,10
California Institute of Technology,NA,Computer Engineering,339,170,169,102,0,3.5,22
NA,California Institute of Technology,Electrical Engineering,291,149,142,0,7.5,3.4,4
California Institute of Technology,NA,Electrical Engineering,331,168,163,112,0,3.3,18
NA,California Institute of Technology,Management Of Technology,320,163,157,0,5.5,2.3,10
California Institute of Technology,NA,Management Of Technology,334,170,164,0,8.5,3.3,23
NA,California Institute of Technology,Mechanical Engineering,314,162,152,85,0,2,5
California Institute of Technology,NA,Mechanical Engineering,325,167,158,0,6.5,3.8,22
NA,"University of California, Santa Barbara",Computer Science,265,139,126,0,7.5,3.3,16
"University of California, Santa Barbara",NA,Computer Science,330,170,160,0,7.5,3.6,18
NA,"University of California, Santa Barbara",Computer Engineering,306,154,152,96,0,3.5,4
"University of California, Santa Barbara",NA,Computer Engineering,332,169,163,0,6.5,3.6,22
NA,"University of California, Santa Barbara",Electrical Engineering,308,158,150,93,0,2,2
"University of California, Santa Barbara",NA,Electrical Engineering,333,173,160,109,0,3.7,9
NA,"University of California, Santa Barbara",Management Of Technology,274,141,133,0,7.5,2,22
"University of California, Santa Barbara",NA,Management Of Technology,336,170,166,102,0,3.7,20
NA,"University of California, Santa Barbara",Mechanical Engineering,313,160,153,91,0,1.8,13
"University of California, Santa Barbara",NA,Mechanical Engineering,328,168,160,110,0,3.4,7
NA,University of Pittsburgh,Computer Science,291,148,143,90,0,3.3,1
University of Pittsburgh,NA,Computer Science,325,165,160,0,9.5,3.7,8
NA,University of Pittsburgh,Computer Engineering,302,157,145,87,0,3.2,15
University of Pittsburgh,NA,Computer Engineering,326,166,160,0,8.5,3.9,5
NA,University of Pittsburgh,Electrical Engineering,310,156,154,87,0,2.1,2
University of Pittsburgh,NA,Electrical Engineering,340,170,170,0,6.5,3.4,14
NA,University of Pittsburgh,Management Of Technology,263,136,127,86,0,3,4
University of Pittsburgh,NA,Management Of Technology,327,169,158,0,7.5,3.9,18
NA,University of Pittsburgh,Mechanical Engineering,309,157,152,0,5.5,3.1,5
University of Pittsburgh,NA,Mechanical Engineering,328,170,158,0,8.5,3.9,14
NA,Colorado State University,Computer Science,313,161,152,96,0,3.3,19
Colorado State University,NA,Computer Science,336,173,163,109,0,4,8
NA,Colorado State University,Computer Engineering,261,137,124,0,6.5,2.5,6
Colorado State University,NA,Computer Engineering,323,163,160,0,7.5,4,23
NA,Colorado State University,Electrical Engineering,309,160,149,85,0,2.6,3
Colorado State University,NA,Electrical Engineering,332,170,162,0,7.5,3.5,20
NA,Colorado State University,Management Of Technology,318,162,156,93,0,3.4,2
Colorado State University,NA,Management Of Technology,328,167,161,108,0,3.5,7
NA,Colorado State University,Mechanical Engineering,272,141,131,94,0,3.1,4
Colorado State University,NA,Mechanical Engineering,334,170,164,102,0,3.3,18
NA,George Washington University,Computer Science,275,144,131,82,0,2.3,1
George Washington University,NA,Computer Science,321,164,157,0,7.5,3.5,22
NA,George Washington University,Computer Engineering,297,152,145,0,6.5,3.2,7
George Washington University,NA,Computer Engineering,335,170,165,115,0,3.1,14
NA,George Washington University,Electrical Engineering,305,158,147,0,5.5,2.3,19
George Washington University,NA,Electrical Engineering,330,168,162,114,0,4,1
NA,George Washington University,Management Of Technology,305,154,151,0,5.5,2,18
George Washington University,NA,Management Of Technology,332,168,164,0,8.5,3.7,22
NA,George Washington University,Mechanical Engineering,297,150,147,92,0,2.4,1
George Washington University,NA,Mechanical Engineering,338,170,168,101,0,3.8,12
NA,Florida State University,Computer Science,305,157,148,0,6.5,2.9,24
Florida State University,NA,Computer Science,337,170,167,112,0,3.5,8
NA,Florida State University,Computer Engineering,313,163,150,0,6.5,3.2,22
Florida State University,NA,Computer Engineering,329,169,160,114,0,3.9,15
NA,Florida State University,Electrical Engineering,292,149,143,0,6.5,2,11
Florida State University,NA,Electrical Engineering,337,170,167,111,0,3.2,4
NA,Florida State University,Management Of Technology,284,146,138,0,7.5,2.9,21
Florida State University,NA,Management Of Technology,323,163,160,116,0,3.4,14
NA,Florida State University,Mechanical Engineering,277,141,136,85,0,3.2,12
Florida State University,NA,Mechanical Engineering,335,170,165,108,0,3.5,2
NA,George Mason University,Computer Science,277,142,135,0,5.5,2.2,24
George Mason University,NA,Computer Science,340,170,170,0,8.5,3.3,12
NA,George Mason University,Computer Engineering,309,157,152,98,0,3.4,5
George Mason University,NA,Computer Engineering,324,167,157,109,0,3.9,24
NA,George Mason University,Electrical Engineering,291,147,144,100,0,2.5,23
George Mason University,NA,Electrical Engineering,325,166,159,0,7.5,3.9,18
NA,George Mason University,Management Of Technology,283,147,136,81,0,2.9,24
George Mason University,NA,Management Of Technology,323,165,158,0,6.5,3.9,21
NA,George Mason University,Mechanical Engineering,300,156,144,91,0,2.5,16
George Mason University,NA,Mechanical Engineering,336,174,162,101,0,3.4,21
NA,University of Notre Dame,Computer Science,311,158,153,0,7.5,2.5,18
University of Notre Dame,NA,Computer Science,337,171,166,0,7.5,3.9,2
NA,University of Notre Dame,Computer Engineering,261,136,125,0,5.5,3.5,2
University of Notre Dame,NA,Computer Engineering,339,170,169,0,9.5,3.6,18
NA,University of Notre Dame,Electrical Engineering,278,142,136,91,0,3.3,18
University of Notre Dame,NA,Electrical Engineering,321,164,157,106,0,3.8,10
NA,University of Notre Dame,Management Of Technology,280,142,138,95,0,3,6
University of Notre Dame,NA,Management Of Technology,331,170,161,0,6.5,3.1,16
NA,University of Notre Dame,Mechanical Engineering,305,154,151,83,0,2,8
University of Notre Dame,NA,Mechanical Engineering,339,170,169,109,0,3.6,9
NA,"University at Buffalo, State University of New York",Computer Science,274,142,132,101,0,1.8,18
"University at Buffalo, State University of New York",NA,Computer Science,335,170,165,0,7.5,3.6,8
NA,"University at Buffalo, State University of New York",Computer Engineering,287,145,142,0,6.5,1.9,13
"University at Buffalo, State University of New York",NA,Computer Engineering,326,169,157,120,0,3.3,3
NA,"University at Buffalo, State University of New York",Electrical Engineering,266,137,129,0,7.5,2.1,6
"University at Buffalo, State University of New York",NA,Electrical Engineering,326,166,160,0,7.5,3.3,7
NA,"University at Buffalo, State University of New York",Management Of Technology,293,152,141,0,6.5,3,9
"University at Buffalo, State University of New York",NA,Management Of Technology,324,168,156,114,0,3.6,21
NA,"University at Buffalo, State University of New York",Mechanical Engineering,272,140,132,98,0,2.5,8
"University at Buffalo, State University of New York",NA,Mechanical Engineering,326,167,159,0,9.5,3.5,6
NA,University of Illinois at Chicago,Computer Science,263,136,127,101,0,1.9,17
University of Illinois at Chicago,NA,Computer Science,326,167,159,0,7.5,3.1,17
NA,University of Illinois at Chicago,Computer Engineering,299,151,148,91,0,2.1,12
University of Illinois at Chicago,NA,Computer Engineering,334,172,162,105,0,3.2,23
NA,University of Illinois at Chicago,Electrical Engineering,304,157,147,81,0,2.5,4
University of Illinois at Chicago,NA,Electrical Engineering,333,170,163,0,7.5,3.9,6
NA,University of Illinois at Chicago,Management Of Technology,300,152,148,83,0,2.1,22
University of Illinois at Chicago,NA,Management Of Technology,335,172,163,0,8.5,3.2,19
NA,University of Illinois at Chicago,Mechanical Engineering,319,165,154,92,0,2.4,16
University of Illinois at Chicago,NA,Mechanical Engineering,328,166,162,0,9.5,3.9,14
NA,Rochester Institute of Technology,Computer Science,268,136,132,0,7.5,2.1,14
Rochester Institute of Technology,NA,Computer Science,324,165,159,0,8.5,3.1,24
NA,Rochester Institute of Technology,Computer Engineering,304,157,147,0,7.5,1.9,6
Rochester Institute of Technology,NA,Computer Engineering,338,170,168,0,6.5,3.1,10
NA,Rochester Institute of Technology,Electrical Engineering,301,156,145,100,0,2.9,7
Rochester Institute of Technology,NA,Electrical Engineering,336,172,164,114,0,3.5,20
NA,Rochester Institute of Technology,Management Of Technology,267,140,127,83,0,2,16
